date,hour,average_speed_kph
2024-08-13,04:00,38.0
2024-08-13,05:00,49.28
2024-08-13,06:00,25.62
2024-08-13,07:00,23.48
2024-08-13,08:00,21.95
2024-08-13,09:00,19.41
2024-08-13,10:00,18.29
2024-08-13,11:00,17.74
2024-08-13,12:00,13.82
2024-08-13,13:00,10.9
2024-08-13,14:00,10.89
2024-08-13,15:00,15.32
2024-08-13,16:00,12.76
2024-08-13,17:00,17.56
2024-08-13,18:00,15.46
2024-08-13,19:00,14.36
2024-08-13,20:00,14.02
2024-08-13,21:00,13.32
2024-08-13,22:00,13.4
2024-08-13,23:00,20.55
2024-08-14,00:00,26.81
2024-08-14,01:00,29.0
2024-08-14,02:00,29.4
2024-08-14,03:00,35.88
2024-08-14,04:00,35.78
2024-08-14,05:00,44.95
2024-08-14,06:00,35.54
2024-08-14,07:00,28.09
2024-08-14,08:00,18.23
2024-08-14,09:00,24.04
2024-08-14,10:00,17.51
2024-08-14,11:00,18.27
2024-08-14,12:00,10.55
2024-08-14,13:00,12.55
2024-08-14,14:00,5.15
2024-08-14,15:00,7.21
2024-08-14,16:00,7.86
2024-08-14,17:00,19.54
2024-08-14,18:00,14.44
2024-08-14,19:00,15.06
2024-08-14,20:00,14.02
2024-08-14,21:00,18.67
2024-08-14,22:00,19.45
2024-08-14,23:00,23.56
2024-08-15,00:00,25.26
2024-08-15,01:00,31.64
2024-08-15,02:00,32.3
2024-08-15,03:00,20.19
2024-08-15,04:00,32.83
2024-08-15,05:00,16.0
2024-08-15,06:00,27.45
2024-08-15,07:00,29.22
2024-08-15,08:00,25.58
2024-08-15,09:00,22.34
2024-08-15,10:00,16.02
2024-08-15,11:00,15.45
2024-08-15,12:00,17.2
2024-08-15,13:00,12.55
2024-08-15,14:00,8.14
2024-08-15,15:00,13.16
2024-08-15,16:00,7.11
2024-08-15,17:00,6.01
2024-08-15,18:00,15.26
2024-08-15,19:00,17.45
2024-08-15,20:00,15.31
2024-08-15,21:00,15.21
2024-08-15,22:00,20.74
2024-08-15,23:00,25.71
2024-08-16,00:00,26.16
2024-08-16,01:00,31.38
2024-08-16,02:00,26.88
2024-08-16,03:00,31.42
2024-08-16,04:00,20.66
2024-08-16,05:00,33.21
2024-08-16,06:00,28.51
2024-08-16,07:00,17.8
2024-08-16,08:00,28.9
2024-08-16,09:00,16.1
2024-08-16,10:00,16.06
2024-08-16,11:00,18.29
2024-08-16,12:00,18.14
2024-08-16,13:00,9.6
2024-08-16,14:00,14.04
2024-08-16,15:00,18.98
2024-08-16,16:00,15.05
2024-08-16,17:00,16.34
2024-08-16,18:00,16.15
2024-08-16,19:00,18.47
2024-08-16,20:00,16.86
2024-08-16,21:00,11.76
2024-08-16,22:00,16.0
2024-08-16,23:00,21.94
2024-08-17,00:00,28.92
2024-08-17,01:00,30.01
