date,hour,average_speed_kph
2024-08-11,22:00,22.0
2024-08-11,23:00,18.63
2024-08-12,00:00,27.4
2024-08-12,01:00,11.13
2024-08-12,02:00,35.2
2024-08-12,03:00,27.73
2024-08-12,04:00,20.7
2024-08-12,05:00,38.45
2024-08-12,06:00,26.3
2024-08-12,07:00,30.15
2024-08-12,08:00,14.03
2024-08-12,09:00,23.47
2024-08-12,10:00,8.8
2024-08-12,11:00,9.05
2024-08-12,12:00,7.56
2024-08-12,13:00,9.77
2024-08-12,14:00,10.6
2024-08-12,15:00,10.35
2024-08-12,16:00,11.42
2024-08-12,17:00,13.3
2024-08-12,18:00,11.8
2024-08-12,19:00,17.23
2024-08-12,20:00,9.0
2024-08-12,21:00,15.48
2024-08-12,22:00,18.47
2024-08-12,23:00,20.53
2024-08-13,00:00,24.25
2024-08-13,01:00,28.0
2024-08-13,02:00,15.57
2024-08-13,03:00,34.15
2024-08-13,04:00,40.0
2024-08-13,05:00,27.0
2024-08-13,06:00,31.35
2024-08-13,07:00,20.7
2024-08-13,08:00,15.96
2024-08-13,09:00,12.23
2024-08-13,10:00,7.05
2024-08-13,11:00,8.62
2024-08-13,12:00,7.32
2024-08-13,13:00,16.68
2024-08-13,14:00,7.67
2024-08-13,15:00,11.66
2024-08-13,16:00,15.8
2024-08-13,17:00,20.13
2024-08-13,18:00,12.5
2024-08-13,19:00,14.6
2024-08-13,20:00,11.28
2024-08-13,21:00,10.62
2024-08-13,22:00,19.9
2024-08-13,23:00,17.37
2024-08-14,00:00,16.24
2024-08-14,01:00,26.3
2024-08-14,02:00,34.1
2024-08-14,03:00,36.92
2024-08-14,04:00,40.9
2024-08-14,05:00,39.6
2024-08-14,06:00,35.25
2024-08-14,07:00,36.15
2024-08-14,08:00,19.8
2024-08-14,09:00,26.35
2024-08-14,10:00,11.15
2024-08-14,11:00,9.95
2024-08-14,12:00,8.8
2024-08-14,13:00,12.78
2024-08-14,14:00,10.04
2024-08-14,15:00,6.87
2024-08-14,16:00,11.58
2024-08-14,17:00,16.52
2024-08-14,18:00,10.17
2024-08-14,19:00,10.62
2024-08-14,20:00,10.22
2024-08-14,21:00,20.3
2024-08-14,22:00,12.43
2024-08-14,23:00,14.98
2024-08-15,00:00,27.1
2024-08-15,01:00,31.65
2024-08-15,02:00,37.65
2024-08-15,03:00,23.8
2024-08-15,04:00,26.8
2024-08-15,05:00,35.6
2024-08-15,06:00,31.5
2024-08-15,07:00,33.0
2024-08-15,08:00,26.5
2024-08-15,09:00,22.72
2024-08-15,10:00,10.25
2024-08-15,11:00,6.84
2024-08-15,12:00,10.32
2024-08-15,13:00,8.34
2024-08-15,14:00,9.48
2024-08-15,15:00,8.72
2024-08-15,16:00,11.45
2024-08-15,17:00,12.06
2024-08-15,18:00,11.93
2024-08-15,19:00,12.5
2024-08-15,20:00,13.85
2024-08-15,21:00,9.25
2024-08-15,22:00,19.05
2024-08-15,23:00,21.54
2024-08-16,00:00,23.95
2024-08-16,01:00,32.1
2024-08-16,02:00,35.85
2024-08-16,03:00,10.8
2024-08-16,04:00,32.63
2024-08-16,05:00,24.58
2024-08-16,06:00,22.34
2024-08-16,07:00,30.2
2024-08-16,08:00,28.45
2024-08-16,09:00,12.34
