segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,46.5,47.0,48.8,126,1,7
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,40.2,44.0,44.6,118,1,8
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,38.7,43.0,41.8,199,1,9
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,36.3,40.0,39.5,347,1,10
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,31.4,36.0,35.2,629,1,11
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,22.4,29.0,28.0,827,1,12
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,14.1,16.0,19.4,952,1,13
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,14.1,16.0,18.8,947,1,14
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,13.3,14.0,18.4,987,1,15
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,13.8,16.0,18.5,1083,1,16
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,13.9,16.0,19.4,1066,1,17
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,17.1,21.0,22.8,1162,1,18
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,15.4,19.0,20.7,1210,1,19
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,11.8,13.0,15.6,1069,1,20
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,11.0,12.0,13.5,1121,1,21
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,11.8,13.0,14.8,1154,1,22
